username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,,,,,,
#2019PrabowoPRESIDEN,Cha_Geur28,4/3/2019 8:09,9,37,# PowerOfAkunReceh02 @ jokowi @ prabowo Hanya ibarat saja ... Belum tentu bener yang saya sampaika. ..... pic.twitter.com/t4QTlEFoS8,,@ @,#,1.11325E+18,https://twitter.com/Cha_Geur28/status/1113247162551349248,,,,,,
mei Amoy kecil  他很米兰,Namaku_Mei,4/3/2019 7:51,18,57,"Mbah Tutut adalah sepuh perjuangan kemerdekan RI dgan membantu pembuatan senjata sejak 1931. Mbah Tutut kebanyakan terus, mana Anak ku Jokowi ? Presiden Jokowi dan Ibu Iriana bertemu dengan Mbah Tutut pic.twitter.com/G2HXGmiDxK",,,,1.11324E+18,https://twitter.com/Namaku_Mei/status/1113242561651433473,,,,,,
Bobby,Bobby88170007,4/3/2019 7:49,7,14,Hehe. Percaya metro TV? Nih ini fakta yg g bisa dibantah. Ring 1 jokowi beli suara. Nendang bgt # AmplopLuhutAdaMaunyapic.twitter.com/Vek8Vlmemz,,,#,1.11324E+18,https://twitter.com/Bobby88170007/status/1113242085635674113,,,,,,
Ridlwan ꦗꦺꦴꦏꦺꦴꦮꦶ,ridlwandjogja,4/3/2019 7:44,208,229,Di semua kota rakyat menyambut pak @ jokowi dengan gembira . DILANjutkan ! # RabuPutihJokowiMenangpic.twitter.com/OvAg4uwDfg,,@,#,1.11324E+18,https://twitter.com/ridlwandjogja/status/1113240939965833216,,,,,,
Fatma Suleman,suleman_fatma,4/3/2019 7:01,33,38,Jokowi unggul Menang Hebat Terbaik Luar biasa untuk 01 # RabuPutihJokowiMenangpic.twitter.com/J12VV0GZBY,,,#,1.11323E+18,https://twitter.com/suleman_fatma/status/1113230082477154306,,,,,,
Virdamansur,virdamansur,4/3/2019 6:37,7,12,Kesejahteraan Nelayan di Era Jokowi pic.twitter.com/jtWakRHoLR,,,,1.11322E+18,https://twitter.com/virdamansur/status/1113224059632775168,,,,,,
Virdamansur,virdamansur,4/3/2019 6:35,5,11,Masyarakat Papua Apresiasi Pembangunan di Era Jokowi pic.twitter.com/WCF8D9b5qt,,,,1.11322E+18,https://twitter.com/virdamansur/status/1113223431867080704,,,,,,
Virdamansur,virdamansur,4/3/2019 6:35,5,14,"Rakyat Militan Dukung Jokowi, Bersih Merakyat Anti Korupsi pic.twitter.com/aPGeoLQTvr",,,,1.11322E+18,https://twitter.com/virdamansur/status/1113223421817528320,,,,,,
Togi Rolls,emjiti_88,4/3/2019 5:42,104,146,"Apa kata mereka, simak yuk sampai habis. Pak Jokowi NYATA kerjanya", dg sangat cepat membangun semua infrastruktur, dan dg program kartu²nya. Ini aja baru 4,5 thn gimana klo terpilih 5 tahun lagi," Indonesia akan semakin maju!"" # RabuPutihJokowiMenang @ Cak_X01 @ PowerEmakpic.twitter.com/kr42RpxY49""",,@ @,#,1.11321E+18,https://twitter.com/emjiti_88/status/1113210110132645888,,
Efendi,Efendi_KF,4/3/2019 6:56,2,5,Pak @ jokowi sudah membuktikan bahwa Bangsa ini milik semua masyarakat. Tanpa sekat dan tanpa batas. # RabuPutihJokowiMenang pic.twitter.com/Re4VOUP4uG,,@,#,1.11323E+18,https://twitter.com/Efendi_KF/status/1113228845866311680,,,,,,
Togi Rolls,emjiti_88,4/3/2019 5:45,0,5,Jokowi Amin PILIHAN GUE ayo ke TPS utk coblos No. 01 Baju putih # RabuPutihJokowiMenangpic.twitter.com/ok5XB2kKWr,,,#,1.11321E+18,https://twitter.com/emjiti_88/status/1113210888662638594,,,,,,
Maiman. J,MaimanJ2,4/3/2019 5:39,8,3,Pak Jokowi untuk Indonesia menang # RabuPutihJokowiMenangpic.twitter.com/dl6Cz31J0K,,,#,1.11321E+18,https://twitter.com/MaimanJ2/status/1113209268927291393,,,,,,
